ev_level1_evse_num,open_date,latitude,ev_connector_types,rd_blends_fr,nps_unit_name,owner_type_code,e85_other_ethanol_blends,ev_other_evse,ev_renewable_source,cng_vehicle_class,funding_sources,hy_is_retail,ev_network_ids,ev_network,status_code,lpg_primary,hy_standards,cng_renewable_source,hy_status_link,ev_pricing,groups_with_access_code,access_detail_code,station_name,e85_blender_pump,plus4,cng_psi,ng_fill_type_code,state,ev_dc_fast_num,lng_renewable_source,maximum_vehicle_class,ev_pricing_fr,restricted_access,zip,rd_blends,federal_agency,id,facility_type,city,geocode_status,cng_fill_type_code,country,ng_psi,cng_total_compression,ev_level2_evse_num,access_days_time_fr,lng_vehicle_class,lpg_nozzle_types,groups_with_access_code_fr,expected_date,fuel_type_code,access_days_time,station_phone,rd_blended_with_biodiesel,hy_pressures,lng_has_rng,cng_total_storage,intersection_directions_fr,ng_vehicle_class,access_code,ev_workplace_charging,date_last_confirmed,street_address,cng_has_rng,rd_max_biodiesel_level,bd_blends_fr,cards_accepted,ev_network_web,longitude,cng_dispenser_num,intersection_directions,updated_at,bd_blends
,2012-01-15,33.482058,['J1772'],,,,,,,,,,"{'station': ['465ba1dd-d734-8158-93cc-330000022740'], 'posts': ['2685a839-46da-46c5-a154-95c14a0a1a11', '74e8cdca-3dc3-4694-83d9-90d290097b0a']}",Blink Network,E,,,,,Free,Public,,Phoenix Community College Garage,,,,,AZ,,,,,,85013,,,95616,,Phoenix,GPS,,US,,,2,,,,Public,,ELEC,24 hours daily,888-998-2546,,,,,,,public,False,2025-03-19,1202 West Thomas Road,,,,,https://blinkcharging.com,-112.090209,,,2025-03-19T00:28:41Z,
,2015-04-01,33.447637,['J1772'],,,,,,,,,,"{'station': ['465ba1dd-d734-8158-93cc-330000203996'], 'posts': ['3b5fefe7-52fc-f788-cf14-b5a718c2231e', '56992772-81c3-5421-2807-4baad2f2467a', '82162a3b-0a97-f529-de29-3fdfed220b2c', '87536c75-11fb-b1f2-03f8-dead7a1f3235', 'e4e1706b-cc30-91e5-8ecc-9bfbac284bd2', 'f0fa082f-3f39-4027-b854-a6ee9dfc9ead']}",Blink Network,E,,,,,Free,Public,,Phoenix Convention Center - East Garage 4th Level,,,,,AZ,,,,,,85004,,,95706,,Phoenix,GPS,,US,,,6,,,,Public,,ELEC,24 hours daily,888-998-2546,,,,,,,public,False,2025-03-19,601 E. Washington Street,,,,,https://blinkcharging.com,-112.066308,,,2025-03-19T00:23:50Z,
,2015-04-01,33.450052,['J1772'],,,,,,,,,,"{'station': ['465ba1dd-d734-8158-93cc-330000204032'], 'posts': ['14690394-01b4-bb8d-b53b-6fcaf5fd43dc', '1fc68183-f197-79a6-ff40-42d4999c5511']}",Blink Network,E,,,,,Free,Public,,Phoenix Childrens Museum,,,,,AZ,,,,,,85034,,,95707,,Phoenix,GPS,,US,,,2,,,,Public,,ELEC,24 hours daily,888-998-2546,,,,,,,public,False,2025-03-19,215 N 7th Street,,,,,https://blinkcharging.com,-112.064103,,,2025-03-19T00:39:43Z,
,2012-01-15,33.46327,['J1772'],,,,,,,,,,"{'station': ['465ba1dd-d734-8158-93cc-330000043064'], 'posts': ['48379ddb-9216-b27b-3406-168b66fa415e', 'a5d8fd54-ff4b-2885-453d-c3a2c66877f9', 'a6549b86-fe8a-0604-43a9-606aaf7f5858', 'f122ca58-bc3c-8f09-2cc1-c7597fe8047e']}",Blink Network,E,,,,,Free,Public,,Burton Barr Library,,,,,AZ,,,,,,85004,,,96019,,Phoenix,GPS,,US,,,4,,,,Public,,ELEC,24 hours daily,888-998-2546,,,,,,,public,False,2025-03-19,1221 N Central Ave,,,,,https://blinkcharging.com,-112.073321,,,2025-03-19T00:20:30Z,
,2016-09-26,33.449695,['J1772'],,,,,,,,,,"{'station': ['465ba1dd-d734-8158-93cc-330000060024'], 'posts': ['0a3a935e-0505-f017-cc0b-578bd3ff8303', 'd919d031-5433-46ff-ae4c-69f05fde95c3']}",Blink Network,E,,,,,Free,Public,,Phoenix Convention Center - Heritage Garage,,,,,AZ,,,,,,85004,,,96059,,Phoenix,GPS,,US,,,2,,,,Public,,ELEC,24 hours daily,888-998-2546,,,,,,,public,False,2025-03-19,123 N. 5th Street,,,,,https://blinkcharging.com,-112.067236,,,2025-03-19T00:13:46Z,
,2012-05-31,33.577867,['J1772'],,,,,,,,,,"{'station': ['465ba1dd-d734-8158-93cc-330000060025'], 'posts': ['c9ac3e33-405e-46b5-a394-28a3b9b2258a']}",Blink Network,E,,,,,Free,Public,,Cholla Library,,,,,AZ,,,,,,85051,,,96060,,Phoenix,GPS,,US,,,1,,,,Public,,ELEC,24 hours daily,888-998-2546,,,,,,,public,False,2025-03-19,10050 Metro Parkway East,,,,,https://blinkcharging.com,-112.11905,,,2025-03-19T00:13:46Z,
,2012-01-15,33.554009,['J1772'],,,,,,,,,,"{'station': ['465ba1dd-d734-8158-93cc-330000060386'], 'posts': ['0917c065-33fb-9948-a85a-0ec226f23997', '63286fdd-d365-4173-846f-93e8c260a5f8']}",Blink Network,E,,,,,Free,Public,,Bookmans - 19th Avenue,,,,,AZ,,,,,,85021,,,96100,,Phoenix,GPS,,US,,,2,,,,Public,,ELEC,24 hours daily,888-998-2546,,,,,,,public,False,2025-03-19,8034 North 19th Avenue,,,,,https://blinkcharging.com,-112.100952,,,2025-03-19T00:15:25Z,
,2018-07-20,33.766378,['J1772'],,,,,,,,,,"{'station': ['USCPIL475681'], 'posts': ['22407791', '22407801']}",ChargePoint Network,E,,,,,,Public,,NOVA NV NOVA 1,,,,,AZ,,,,,,85085,,,99823,,Phoenix,GPS,,US,,,2,,,,Public,,ELEC,24 hours daily,888-758-4389,,,,,,,public,False,2025-03-19,31113 N North Valley Pkwy,,,,,https://www.chargepoint.com,-112.111884,,,2025-03-19T01:32:02Z,
,2018-07-23,33.511837,['TESLA'],,,P,,,,,,,,Tesla,E,,,,,,Public,,Biltmore Fashion Park - Tesla Supercharger,,,,,AZ,16,,,,,85016,,,101988,SHOPPING_MALL,Phoenix,GPS,,US,,,,,,,Public,,ELEC,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,877-798-3752,,,,,,,public,False,2024-07-01,2502 East Camelback Road,,,,,https://www.tesla.com/supercharger,-112.026803,,,2025-02-12T00:16:32Z,
,2018-07-23,33.667055,['TESLA'],,,P,,,,,,,,Tesla,E,,,,,,Public,,Deer Valley Town Center - Tesla Supercharger,,,,,AZ,16,,,,,85027,,,101989,,Phoenix,GPS,,US,,,,,,,Public,,ELEC,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,877-798-3752,,,,,,,public,False,2024-07-01,2805 Agua Fria Fwy,,,,,https://www.tesla.com/supercharger,-112.120898,,,2025-02-12T00:16:32Z,
,2018-10-17,33.701326,['J1772'],,,,,,,,,,"{'station': ['USCPIL192283'], 'posts': ['22618741']}",ChargePoint Network,E,,,,,,Public,,NEXMETRO DEER VALLEY ST1,,,,,AZ,,,,,,85085,,,104200,,Phoenix,GPS,,US,,,1,,,,Public,,ELEC,24 hours daily,888-758-4389,,,,,,,public,False,2025-03-19,23700 N 23rd Ave,,,,,https://www.chargepoint.com,-112.109065,,Front of Leasing office,2025-03-19T01:24:33Z,
,2018-12-05,33.480625,['J1772'],,,,,,,,,,"{'station': ['USCPIL707881'], 'posts': ['941351', '941361']}",ChargePoint Network,E,,,,,,Public,,ARCADIA 4222 STATION 1,,,,,AZ,,,,,,85018,,,105103,,Phoenix,GPS,,US,,,2,,,,Public,,ELEC,24 hours daily,888-758-4389,,,,,,,public,False,2025-03-19,4203 E Thomas Rd,,,,,https://www.chargepoint.com,-111.990211,,Garage - ground level,2025-03-19T01:36:36Z,
,2017-11-06,33.596778,"['J1772', 'TESLA']",,,P,,,,,,,,Tesla Destination,E,,,,,Free,Public,,Pointe Hilton Tapatio Cliffs Resort - Tesla Destination,,,,,AZ,,,,,,85020,,,112780,HOTEL,Phoenix,200-9,,US,,,4,,,,Public,,ELEC,,877-798-3752,,,,,,,public,False,2024-07-01,11111 N 7th St,,,,,https://www.tesla.com/destination-charging,-112.064907,,,2025-02-12T00:16:32Z,
,2018-05-31,33.523241,['TESLA'],,,P,,,,,,,,Tesla Destination,E,,,,,Free,Public,,"Arizona Biltmore, A Waldorf Astoria Resort - Tesla Destination",,,,,AZ,,,,,,85016,,,112781,HOTEL,Phoenix,200-9,,US,,,6,,,,Public,,ELEC,,877-798-3752,,,,,,,public,False,2024-07-01,2400 E Missouri Ave,,,,,https://www.tesla.com/destination-charging,-112.023321,,,2025-02-12T00:16:32Z,
,2016-09-29,33.508629,"['J1772', 'TESLA']",,,P,,,,,,,,Tesla Destination,E,,,,,Free,Public,,The Camby Hotel - Tesla Destination,,,,,AZ,,,,,,85016,,,112782,HOTEL,Phoenix,200-9,,US,,,5,,,,Public,,ELEC,,877-798-3752,,,,,,,public,False,2024-07-01,2401 E. Camelback,,,,,https://www.tesla.com/destination-charging,-112.029714,,,2025-02-12T00:16:32Z,
,2015-10-23,33.424609,['TESLA'],,,P,,,,,,,,Tesla Destination,E,,,,,Free,Public,,Cutter Aviation Phoenix Sky Harbor - Tesla Destination,,,,,AZ,,,,,,85034,,,112783,OFFICE_BLDG,Phoenix,200-9,,US,,,2,,,,Public,,ELEC,,877-798-3752,,,,,,,public,False,2024-07-01,2802 E Old Tower Rd,,,,,https://www.tesla.com/destination-charging,-112.021664,,,2025-02-12T00:16:32Z,
,2015-09-28,33.509287,"['J1772', 'TESLA']",,,P,,,,,,,,Tesla Destination,E,,,,,Free,Public,,Buck & Rider - Tesla Destination,,,,,AZ,,,,,,85018,,,112784,HOTEL,Phoenix,200-9,,US,,,3,,,,Public,,ELEC,,877-798-3752,,,,,,,public,False,2024-07-01,4225 E Camelback Rd,,,,,https://www.tesla.com/destination-charging,-111.988706,,,2025-02-12T00:16:32Z,
,2018-01-18,33.595732,"['J1772', 'TESLA']",,,P,,,,,,,,Tesla Destination,E,,,,,Free,Public,,Embassy Suites Phoenix-Scottsdale - Tesla Destination,,,,,AZ,,,,,,85032,,,112785,HOTEL,Phoenix,200-9,,US,,,4,,,,Public,,ELEC,,877-798-3752,,,,,,,public,False,2024-07-01,4415 E Paradise Village Pkwy S,,,,,https://www.tesla.com/destination-charging,-111.985693,,,2025-02-12T00:16:32Z,
,2018-02-20,33.674612,"['J1772', 'TESLA']",,,P,,,,,,,,Tesla Destination,E,,,,,Free,Public,,Cambria Hotel & Suites North Scottsdale Desert Ridge - Tesla Destination,,,,,AZ,,,,,,85050,,,112786,HOTEL,Phoenix,200-9,,US,,,4,,,,Public,,ELEC,,877-798-3752,,,,,,,public,False,2024-07-01,4425 E Irma Ln,,,,,https://www.tesla.com/destination-charging,-111.98265,,,2025-02-12T00:16:32Z,
,2014-12-02,33.504236,['TESLA'],,,P,,,,,,,,Tesla Destination,E,,,,,Free,Public,,Royal Palms Resort and Spa - Tesla Destination,,,,,AZ,,,,,,85018,,,112787,HOTEL,Phoenix,200-9,,US,,,2,,,,Public,,ELEC,,877-798-3752,,,,,,,public,False,2024-07-01,5200 E Camelback Rd,,,,,https://www.tesla.com/destination-charging,-111.969247,,,2025-02-12T00:16:32Z,
,2015-10-26,33.684154,['TESLA'],,,P,,,,,,,,Tesla Destination,E,,,,,Free,Public,,Cutter Aviation Deer Valley - Tesla Destination,,,,,AZ,,,,,,85027,,,112788,OFFICE_BLDG,Phoenix,200-8,,US,,,1,,,,Public,,ELEC,,877-798-3752,,,,,,,public,False,2024-07-01,530 W Deer Valley Rd,,,,,https://www.tesla.com/destination-charging,-112.081904,,,2025-02-12T00:16:32Z,
,2015-06-17,33.675874,['TESLA'],,,P,,,,,,,,Tesla Destination,E,,,,,Free,Public,,High Street - Tesla Destination,,,,,AZ,,,,,,85054,,,112789,STREET_PARKING,Phoenix,200-8,,US,,,2,,,,Public,,ELEC,,877-798-3752,,,,,,,public,False,2024-07-01,5415 E High St,,,,,https://www.tesla.com/destination-charging,-111.967054,,,2025-02-12T00:16:32Z,
,2016-11-01,33.448829,"['J1772', 'TESLA']",,,P,,,,,,,,Tesla Destination,E,,,,,Free,Public,,Crowne Plaza Phoenix Airport Hotel - Tesla Destination,,,,,AZ,,,,,,85034,,,112791,HOTEL,Phoenix,200-9,,US,,,2,,,,Public,,ELEC,,877-798-3752,,,,,,,public,False,2024-07-01,4300 E Washington St,,,,,https://www.tesla.com/destination-charging,-111.988517,,,2025-02-12T00:16:32Z,
,2011-03-15,33.907866,"['CHADEMO', 'J1772']",,,P,,,,,,,,Non-Networked,E,,,,,Free,Public - Call ahead,CALL,Nalley Nissan of Atlanta,,,,,GA,2,,LD,,False,30360,,,39985,CAR_DEALER,Atlanta,GPS,,US,,,1,,,,Public - Appeler à l'avance,,ELEC,"9am-8pm M-Sat, 12pm-5pm Sun",855-416-9828,,,,,,,public,False,2024-02-12,2551 The Nalley Way,,,,,,-84.283186,,,2025-02-12T00:16:32Z,
,2011-07-27,33.90999,"['J1772', 'J1772COMBO']",,,P,,,SOLAR,,,,,Non-Networked,E,,,,,Free,Public - Call ahead,CALL,Jim Ellis Chevrolet,,,,,GA,1,,LD,,True,30341,,,40790,CAR_DEALER,Atlanta,GPS,,US,,,6,,,,Public - Appeler à l'avance,,ELEC,9am-8pm M-Sat; for Volt use only,,,,,,,,public,False,2024-01-09,5900 Peachtree Industrial Blvd,,,,,,-84.2914,,"South of I-285 on west side of Peachtree Industrial Blvd, located near the sales department",2024-01-31T22:07:01Z,
,2012-02-15,33.9064807,['J1772'],,,P,,,,,,,,Non-Networked,E,,,,,Free,Public,,Hilton Garden Inn - Marietta,,,,,GA,,,,,True,30339,,,46642,HOTEL,Atlanta,GPS,,US,,,4,,,,Public,,ELEC,24 hours daily; for guest use only,770-953-8850,,,,,,,public,False,2024-12-10,3045 Windy Hill Rd,,,,,,-84.4639319,,,2025-02-12T00:16:32Z,
,2012-05-15,33.787208,['J1772'],,,P,,,,,,,,Non-Networked,E,,,,,,Private,,One Atlantic Center,,,,,GA,,,LD,,,30309,,,46991,PARKING_GARAGE,Atlanta,200-9,,US,,,19,,,,Privé,,ELEC,Tenant and guest use only,,,,,,,,private,False,2024-12-10,1201 W Peachtree St,,,,,,-84.387453,,Stations are located on the W Peachtree Rd side of the parking deck near the exit on level B2,2025-02-12T00:16:32Z,
,2012-06-06,33.787,['J1772'],,,P,,,,,,,,Non-Networked,E,,,,,,Private,,1180 Peachtree Building,,,,,GA,,,LD,,,30309,,,47246,PAY_GARAGE,Atlanta,200-9,,US,,,4,,,,Privé,,ELEC,Tenant and guest use only; pay lot,,,,,,,,private,False,2022-08-10,1180 Peachtree St NE,,,,,,-84.383549,,NW corner of Peachtree and 14th St. 14th floor of Peachtree building parking garage,2023-02-15T22:45:41Z,
,2013-04-01,33.767508,['J1772'],,,P,,,,,,,,Non-Networked,E,,,,,,Private,,Southface,,,,,GA,,,,,,30308,,,51522,PARKING_LOT,Atlanta,200-8,,US,,,1,,,,Privé,,ELEC,Member and staff use only,,,,,,,,private,False,2025-01-13,241 Pine St NE,,,,,,-84.38028,,Located on the right side of the complex at the end of the driveway.,2025-02-12T00:16:32Z,
60,2013-05-01,33.669868,['NEMA515'],,,P,,,,,,,,Non-Networked,E,,,,,Free,Public,,Peachy Airport Parking,,,,,GA,,,LD,,False,30354,,,52108,PAY_GARAGE,Atlanta,200-9,,US,,,,,,,Public,,ELEC,24 hours daily; pay lot; reservations accepted; Drivers must bring their own J1772 cordset for Level 1 charging,404-767-7275,,,,,,,public,False,2023-09-14,3025 Sylvan Rd,,,,,,-84.418478,,,2024-01-31T22:07:01Z,
,2014-06-07,33.751991,['J1772'],,,,,,,,,,"{'station': ['USCPIL145131'], 'posts': ['193463', '193465']}",ChargePoint Network,E,,,,,,Public,,GEORGIA STATE G DECK EV2,,,,,GA,,,,,,30303,,,62062,,Atlanta,GPS,,US,,,2,,,,Public,,ELEC,24 hours daily,888-758-4389,,,,,,,public,False,2025-03-19,52 Courtland St SE,,,,,https://www.chargepoint.com,-84.387318,,Located on the 4th floor near the entrance.,2025-03-19T01:16:35Z,
1,2014-01-12,33.75886,"['J1772', 'NEMA520']",,,P,,,,,,,,Non-Networked,E,,,,,Free,Public,,Sheraton Hotel,,,,,GA,,,LD,,False,30303,,,62519,HOTEL,Atlanta,200-8,,US,,,1,,,,Public,,ELEC,Garage business hours; pay lot; see valet for access; Drivers must bring their own J1772 cordset for Level 1 charging,404-659-6500,,,,,,,public,False,2023-08-10,165 Courtland St NE,,,,,,-84.384194,,"Located on left side of the parking garage, see valet",2024-01-31T22:07:01Z,
,2017-01-16,33.874961,['J1772'],,,P,,,,,,,,Non-Networked,E,,,,,Free,Public - Call ahead,CALL,DeKalb Peachtree Airport,,,,,GA,,,LD,,False,30341,,,67099,AIRPORT,Atlanta,200-9,,US,,,2,,,,Public - Appeler à l'avance,,ELEC,24 hours daily; call ahead to obtain code to use the charger,770-936-5440,,,,,,,public,False,2023-01-10,2000 Airport Rd,,,,,,-84.301305,,,2023-02-14T15:54:11Z,
,2015-10-15,33.755638,['J1772'],,,,,,,,,,"{'station': ['USCPIL126631'], 'posts': ['165631', '165633']}",ChargePoint Network,E,,,,,,Public,,GWCC GWCC MB NGW 8,,,,,GA,,,,,,30303,,,70512,,Atlanta,GPS,,US,,,2,,,,Public,,ELEC,24 hours daily,888-758-4389,,,,,,,public,False,2025-03-19,Mangum St SW,,,,,https://www.chargepoint.com,-84.398674,,,2025-03-19T01:13:47Z,
